date,open,high,low,close,volume
2015-11-26,327.85,369.7,327.28,351.03,34780.16942707
2015-11-25,319.81,330.84,316.0,327.85,12515.70504489
2015-11-24,323.01,323.5,317.0,319.81,8500.73923814
2015-11-23,323.49,326.09,320.39,323.01,5139.69387827
2015-11-22,320.93,326.6,320.13,323.49,4110.25103178
2015-11-20,327.79,327.8,310.0,320.93,22144.08854613
2015-11-19,335.6,337.09,325.88,327.79,26432.17627049
2015-11-18,337.61,337.89,330.28,335.6,27623.47109489
2015-11-17,328.53,350.44,327.55,337.61,29698.3009735
2015-11-16,320.29,332.2,315.0,328.53,20085.21084351
2015-11-15,337.54,339.1,314.6,320.29,31413.56697987
2015-11-14,338.37,356.1,328.0,337.54,23337.47760778
2015-11-13,331.95,342.0,325.0,338.37,24644.51802757
2015-11-12,303.5,344.78,298.0,331.95,36738.16169284
2015-11-11,332.95,341.41,294.0,303.5,52771.95093005
2015-11-10,380.83,381.74,323.63,332.95,47376.79023855
2015-11-09,373.44,386.79,360.54,380.83,25442.75105022
2015-11-08,386.98,390.47,366.18,373.44,27042.06887912
2015-11-07,374.3,392.82,369.01,386.98,26862.28040579
2015-11-06,391.47,396.67,353.26,374.3,47849.15628068
2015-11-05,397.0,448.79,364.37,391.47,64194.20369534
2015-11-04,401.86,502.0,368.11,397.0,105066.2378149
2015-11-03,363.0,420.77,359.31,401.86,76438.14787878
2015-11-02,326.43,368.74,320.0,363.0,41874.68290541
2015-11-01,309.09,329.85,303.01,326.43,14221.50600541
2015-10-31,325.27,334.67,302.99,309.09,29718.0076443
2015-10-30,314.63,334.05,313.0,325.27,38536.3401551
2015-10-29,302.71,319.6,301.7,314.63,31698.8453267
2015-10-28,297.34,308.48,291.0,302.71,32400.38633505
2015-10-27,286.48,300.0,285.09,297.34,33034.7548956
2015-10-26,287.5,288.83,279.25,286.48,21808.34165464
